"filename", "language", "JSON", "JavaScript", "Markdown", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\E-Commerce Website (Full)\frontend\src\pages\Collection.css", "CSS", 0, 0, 0, 0, 0, 554, 0, 0, 89, 643
"c:\E-Commerce Website (Full)\frontend\src\pages\Collection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -337, -26, -48, -411
"c:\E-Commerce Website (Full)\frontend\src\pages\Contact.css", "CSS", 0, 0, 0, 0, 0, 136, 0, 0, 22, 158
"c:\E-Commerce Website (Full)\frontend\src\pages\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -183, -12, -30, -225
"c:\E-Commerce Website (Full)\frontend\src\pages\FAQ.css", "CSS", 0, 0, 0, 0, 0, 148, 0, 0, 25, 173
"c:\E-Commerce Website (Full)\frontend\src\pages\FAQ.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -119, -12, -19, -150
"c:\E-Commerce Website (Full)\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, -2, 3, 18
"c:\E-Commerce Website (Full)\frontend\src\pages\HomeWithAds.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -17, -2, 1, -18
"c:\E-Commerce Website (Full)\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -83, 20, 179, 116
"c:\E-Commerce Website (Full)\frontend\src\pages\OmnoraCollection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 337, 26, 48, 411
"c:\E-Commerce Website (Full)\frontend\src\pages\OmnoraContact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 183, 12, 30, 225
"c:\E-Commerce Website (Full)\frontend\src\pages\OmnoraFAQ.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 12, 19, 150
"c:\E-Commerce Website (Full)\frontend\src\pages\OmnoraFinal.css", "CSS", 0, 0, 0, 0, 0, 365, 0, 0, 43, 408
"c:\E-Commerce Website (Full)\frontend\src\pages\OrderConfirmation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 373, 6, 19, 398
"c:\E-Commerce Website (Full)\frontend\src\pages\Product.css", "CSS", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\E-Commerce Website (Full)\frontend\src\pages\Wishlist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -4, 0, 0, -4
"c:\E-Commerce Website (Full)\frontend\src\pages\server.js", "JavaScript", 0, -90, 0, 0, 0, 0, 0, -13, -19, -122
"c:\E-Commerce Website (Full)\frontend\src\styles\Animations.css", "CSS", 0, 0, 0, 0, 0, -13, 0, 0, -11, -24
"c:\E-Commerce Website (Full)\frontend\src\styles\theme.css", "CSS", 0, 0, 0, 0, 0, -66, 0, 0, -19, -85
"c:\E-Commerce Website (Full)\frontend\src\utils\whatsappOrderService.ts", "TypeScript", 0, 0, 0, 0, 139, 0, 0, 0, 25, 164
"c:\E-Commerce Website (Full)\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, -6, 0, 0, 0, 0, 2, -4
"c:\E-Commerce Website (Full)\frontend\vercel.json", "JSON", -31, 0, 0, 0, 0, 0, 0, 0, 0, -31
"c:\E-Commerce Website (Full)\package-lock.json", "JSON", -444, 0, 0, 0, 0, 0, 0, 0, 0, -444
"c:\E-Commerce Website (Full)\package.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\E-Commerce Website (Full)\vercel.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"Total", "-", -379, 1073, 328, -6, 147, 2922, 760, -13, 1170, 6002
